agence_id,mois,objectif_revenu,objectif_nouveaux_clients,objectif_production_credit,seuil_taux_impaye_pct
A007,2026-04,10.0,2,126177.05,4.16
A007,2026-05,64.08,6,109926.86,3.33
A007,2026-06,14.88,2,153023.03,3.24
A008,2023-01,36.74,2,12950.45,4.85
A008,2023-02,33.31,1,24222.14,2.88
A008,2023-03,18.5,1,24505.03,3.79
A008,2023-04,26.06,1,25155.65,2.4
A008,2023-05,12.77,1,22095.95,4.11
A008,2023-06,63.9,2,196964.02,3.36
A008,2023-07,10.0,2,20590.57,4.63
A008,2023-08,80.72,2,24085.5,3.45
A008,2023-09,22.28,2,262199.36,3.3
A008,2023-10,31.53,2,21320.09,4.03
A008,2023-11,10.0,1,26651.61,4.46
A008,2023-12,37.14,2,30974.06,4.09
A008,2024-01,61.38,2,15298.79,4.73
A008,2024-02,10.0,2,26163.24,4.39
A008,2024-03,57.39,2,10000.0,4.67
A008,2024-04,32.46,2,20693.01,4.82
A008,2024-05,34.18,4,24773.39,2.66
A008,2024-06,13.45,2,13204.11,2.14
A008,2024-07,52.82,1,26311.58,3.06
A008,2024-08,46.38,1,15702.52,4.66
A008,2024-09,12.33,2,19154.86,3.57
A008,2024-10,18.05,1,19343.3,3.29
A008,2024-11,11.75,4,10000.0,3.4
A008,2024-12,83.41,3,19881.45,2.45
A008,2025-01,10.0,3,24912.94,2.62
A008,2025-02,34.04,2,24075.98,4.3
A008,2025-03,66.27,1,22402.11,2.1
A008,2025-04,12.58,2,23745.62,2.69
A008,2025-05,19.41,2,21964.62,2.94
A008,2025-06,25.2,2,21618.97,4.8
A008,2025-07,45.58,2,20341.46,2.42
A008,2025-08,71.15,2,19784.84,4.53
A008,2025-09,28.69,1,23269.56,3.51
A008,2025-10,25.11,2,26131.36,3.12
A008,2025-11,16.45,5,25950.8,2.09
A008,2025-12,21.77,2,370144.42,2.85
A008,2026-01,13.71,1,18574.55,3.12
A008,2026-02,41.22,1,20184.86,3.79
A008,2026-03,58.5,1,25034.77,3.44
A008,2026-04,23.9,2,23467.31,3.97
A008,2026-05,50.84,2,25208.61,4.54
A008,2026-06,20.76,1,22637.94,2.83
A009,2023-01,21.9,1,130268.46,3.8
A009,2023-02,10.0,2,130988.07,3.62
A009,2023-03,10.0,6,215819.24,4.97
A009,2023-04,10.0,3,116935.78,4.79
A009,2023-05,10.0,2,233721.17,2.27
A009,2023-06,10.0,4,139488.21,3.74
A009,2023-07,26.75,3,24740.38,2.32
A009,2023-08,10.46,2,152688.18,2.34
A009,2023-09,32.56,2,10433.5,3.15
A009,2023-10,10.99,1,208853.88,2.9
A009,2023-11,14.91,1,114833.35,4.63
A009,2023-12,17.04,4,154080.36,4.85
A009,2024-01,28.92,1,217654.47,3.81
A009,2024-02,39.8,2,143998.32,4.12
A009,2024-03,22.32,1,107642.02,4.65
A009,2024-04,23.34,5,101750.85,4.13
A009,2024-05,72.59,1,11948.42,3.59
A009,2024-06,48.68,2,118160.43,3.84
A009,2024-07,68.59,1,158881.36,2.2
A009,2024-08,24.22,2,17297.91,2.36
A009,2024-09,15.29,4,154475.25,3.7
A009,2024-10,54.72,1,136331.79,4.8
A009,2024-11,33.03,2,123226.53,3.69
A009,2024-12,13.74,1,152655.68,3.85
A009,2025-01,26.69,1,242572.16,3.96
A009,2025-02,10.0,1,10000.0,4.74
A009,2025-03,35.44,1,110881.13,4.54
A009,2025-04,15.99,1,13306.18,4.5
A009,2025-05,107.21,2,143448.07,2.28
A009,2025-06,17.66,1,164249.74,2.27
A009,2025-07,86.7,1,128537.61,2.8
A009,2025-08,33.5,1,149330.29,4.83
A009,2025-09,49.67,1,108215.78,3.11
A009,2025-10,26.15,5,130607.32,2.65
A009,2025-11,10.0,2,93366.73,2.57
A009,2025-12,26.89,2,161666.01,3.01
A009,2026-01,24.18,1,114111.21,2.83
A009,2026-02,23.24,1,10000.0,2.63
A009,2026-03,22.0,6,158537.01,2.22
A009,2026-04,36.75,2,152425.81,4.88
A009,2026-05,22.26,2,153523.0,3.53
A009,2026-06,10.0,2,153849.72,4.46
A010,2023-01,16.43,3,83890.45,4.59
A010,2023-02,10.0,2,91915.7,2.76
A010,2023-03,25.0,3,79046.07,3.98
A010,2023-04,10.0,3,97910.09,3.61
A010,2023-05,81.86,2,85305.89,2.83
A010,2023-06,29.41,2,151945.21,2.56
A010,2023-07,49.55,3,95784.88,4.07
A010,2023-08,23.05,2,104077.4,4.4
A010,2023-09,28.62,2,29978.79,4.25
A010,2023-10,26.84,5,92008.99,3.65
A010,2023-11,24.42,5,91196.64,2.26
A010,2023-12,25.97,2,71683.71,3.0
A010,2024-01,21.31,2,80881.98,3.96
A010,2024-02,79.24,1,99185.19,3.48
A010,2024-03,39.77,1,78397.05,4.75
A010,2024-04,41.83,1,13246.96,2.72
A010,2024-05,21.09,3,103132.87,2.65
A010,2024-06,10.0,1,73533.57,4.9
A010,2024-07,119.3,1,92577.9,2.13
A010,2024-08,32.88,2,82889.34,4.37
A010,2024-09,19.65,2,77750.97,2.85
A010,2024-10,103.27,1,102885.1,3.86
A010,2024-11,64.26,2,69717.67,2.79
A010,2024-12,38.34,4,94338.03,2.48
A010,2025-01,30.55,3,10000.0,2.45
A010,2025-02,15.04,1,83245.35,2.17
A010,2025-03,24.11,5,74144.6,3.53
A010,2025-04,52.44,1,94467.36,4.13
A010,2025-05,17.26,2,79536.89,4.97
A010,2025-06,10.84,1,86215.69,2.36
A010,2025-07,14.35,2,127243.79,3.61
A010,2025-08,14.22,2,101864.39,2.88
A010,2025-09,14.99,1,91755.13,2.89
A010,2025-10,20.03,2,73505.77,4.3
A010,2025-11,52.7,2,138683.59,3.7
A010,2025-12,113.94,2,26679.28,3.91
A010,2026-01,65.2,3,95652.05,2.64
A010,2026-02,14.87,2,375482.58,2.07
A010,2026-03,68.64,3,43880.66,4.86
A010,2026-04,12.73,3,79241.28,3.03
A010,2026-05,23.05,3,70102.14,2.48
A010,2026-06,14.97,4,82071.09,4.8
A011,2023-01,56.85,2,33143.45,4.88
A011,2023-02,37.35,2,193602.61,2.84
A011,2023-03,70.52,1,30719.1,2.1
A011,2023-04,60.91,2,28265.32,4.97
A011,2023-05,34.25,1,35492.39,3.17
A011,2023-06,18.48,1,28415.84,2.48
A011,2023-07,81.08,2,17189.08,3.12
A011,2023-08,18.31,1,38011.1,2.11
A011,2023-09,52.63,2,38524.33,4.71
A011,2023-10,58.23,1,25046.87,4.43
A011,2023-11,23.45,2,37701.47,4.6
A011,2023-12,47.09,2,43585.75,4.98
A011,2024-01,27.97,1,38670.53,3.18
A011,2024-02,20.3,1,39368.9,4.35
A011,2024-03,22.46,2,122363.22,3.36
A011,2024-04,28.62,2,10769.71,2.14
A011,2024-05,30.74,1,34643.26,4.98
A011,2024-06,30.29,2,39065.88,4.41
A011,2024-07,39.59,5,37271.67,3.1
A011,2024-08,74.84,1,249708.72,2.04
A011,2024-09,28.47,2,10453.63,2.49
A011,2024-10,20.99,2,152120.26,2.62
A011,2024-11,17.94,1,29691.26,4.21
A011,2024-12,30.5,3,34293.43,2.47
A011,2025-01,23.97,2,30381.61,2.69
A011,2025-02,10.0,3,36310.12,4.48
A011,2025-03,16.58,5,29190.88,2.81
A011,2025-04,69.51,1,36587.99,4.53
A011,2025-05,10.0,2,34418.3,4.13
A011,2025-06,34.37,4,35464.71,4.45
A011,2025-07,62.07,2,36312.86,4.65
A011,2025-08,10.6,2,213323.26,3.43
A011,2025-09,17.76,1,27176.62,4.7
A011,2025-10,32.98,1,28836.08,3.5
A011,2025-11,132.52,1,36619.98,4.64
A011,2025-12,58.11,1,30587.46,3.94
A011,2026-01,10.0,3,29679.34,4.36
A011,2026-02,29.46,2,32143.55,2.3
A011,2026-03,10.0,2,468138.91,4.59
A011,2026-04,24.18,2,36685.49,4.33
A011,2026-05,29.84,1,30687.45,2.21
A011,2026-06,40.71,3,33668.64,4.6
A012,2023-01,29.81,2,40137.93,3.22
A012,2023-02,11.87,1,18454.99,2.68
A012,2023-03,68.3,2,47895.54,3.6
A012,2023-04,42.69,2,47485.94,3.75
A012,2023-05,12.34,1,15071.55,2.46
A012,2023-06,53.63,3,41777.62,3.53
A012,2023-07,10.0,5,19298.89,4.67
A012,2023-08,17.55,4,34361.11,4.87
A012,2023-09,17.62,2,41586.41,4.43
A012,2023-10,21.86,2,46328.23,2.3
A012,2023-11,12.19,4,46750.65,2.15
A012,2023-12,23.54,2,277707.51,2.94
A012,2024-01,14.31,2,46577.07,3.2
A012,2024-02,42.42,2,26505.56,3.69
A012,2024-03,17.7,2,45779.55,4.32
A012,2024-04,51.89,1,47542.51,2.04
A012,2024-05,16.31,2,46448.31,4.32
A012,2024-06,44.14,2,39410.26,3.05
A012,2024-07,16.75,2,45518.5,4.17
A012,2024-08,16.61,1,40262.9,3.72
A012,2024-09,32.65,4,37347.74,4.06
A012,2024-10,42.4,1,40071.51,2.28
A012,2024-11,30.45,2,46274.76,4.56
A012,2024-12,14.94,2,40482.97,3.52
A012,2025-01,34.24,3,35304.35,2.06
A012,2025-02,10.0,2,32603.95,2.4
A012,2025-03,18.31,6,339373.51,2.63
A012,2025-04,58.6,5,42468.53,4.4
A012,2025-05,62.91,1,33585.74,4.48
A012,2025-06,58.92,1,15865.26,2.08
A012,2025-07,64.3,2,33315.54,4.88
A012,2025-08,32.95,3,42162.39,3.9
A012,2025-09,11.97,2,42985.32,2.93
A012,2025-10,17.83,2,37943.39,2.06
A012,2025-11,14.37,4,40593.51,3.02
A012,2025-12,18.09,5,34924.86,2.57
A012,2026-01,32.09,4,46528.36,3.05
A012,2026-02,71.3,1,39224.21,4.65
A012,2026-03,25.25,2,33930.8,3.29
A012,2026-04,13.59,3,40507.13,3.5
A012,2026-05,11.31,4,46663.64,3.42
A012,2026-06,24.29,3,39027.67,3.72
A013,2023-01,26.04,2,110648.53,4.11
A013,2023-02,37.02,1,156144.82,3.02
A013,2023-03,10.0,1,125465.09,2.16
A013,2023-04,10.0,3,155981.6,2.15
A013,2023-05,40.39,2,150672.34,2.73
A013,2023-06,72.07,2,119620.66,4.31
A013,2023-07,12.29,2,154904.06,4.2
A013,2023-08,64.92,1,142151.97,2.71
A013,2023-09,10.0,1,205566.16,2.08
A013,2023-10,23.66,3,146438.8,4.11
A013,2023-11,17.76,3,144776.1,2.64
A013,2023-12,34.26,4,130460.11,2.42
A013,2024-01,24.39,3,142422.68,4.05
A013,2024-02,51.54,3,132086.92,2.98
A013,2024-03,10.2,2,12175.36,3.74
A013,2024-04,39.05,2,129539.96,4.33
A013,2024-05,74.11,1,282085.18,3.79
A013,2024-06,23.66,2,18251.48,3.22
A013,2024-07,10.75,2,144834.04,4.53
A013,2024-08,27.46,1,273911.47,2.77
A013,2024-09,10.14,3,283520.7,2.09
A013,2024-10,26.2,4,144391.37,3.46
A013,2024-11,26.19,1,177033.39,2.0
A013,2024-12,83.51,2,10000.0,2.37
A013,2025-01,35.01,2,156687.08,4.94
A013,2025-02,64.09,4,31605.21,3.87
A013,2025-03,27.45,2,87003.82,3.29
A013,2025-04,57.1,1,116147.45,4.74
A013,2025-05,80.47,2,12832.76,2.36
A013,2025-06,12.38,1,116686.9,2.96
A013,2025-07,32.69,2,159513.55,4.47
A013,2025-08,13.49,2,116627.61,3.06
A013,2025-09,16.37,1,116799.26,4.46
A013,2025-10,40.12,2,25055.15,2.01
A013,2025-11,16.45,2,29124.88,4.66
A013,2025-12,23.24,1,202244.77,4.35
A013,2026-01,33.45,1,161106.48,4.01
A013,2026-02,10.0,1,13406.95,4.11
A013,2026-03,12.25,2,330561.13,2.63
A013,2026-04,10.0,2,122158.03,3.69
A013,2026-05,54.91,1,152170.35,3.05
A013,2026-06,23.33,2,107986.25,2.95
A014,2023-01,63.28,2,60316.1,2.68
A014,2023-02,26.34,2,56438.12,3.82
A014,2023-03,28.83,2,53726.39,2.74
A014,2023-04,10.0,1,47640.9,2.97
A014,2023-05,71.71,2,61302.3,4.3
A014,2023-06,87.32,1,45915.66,2.13
A014,2023-07,12.7,3,61444.76,4.89
A014,2023-08,10.0,1,44374.98,3.64
A014,2023-09,24.52,5,42301.14,3.02
A014,2023-10,24.54,4,47204.86,2.34
A014,2023-11,34.2,3,59754.96,3.85
A014,2023-12,40.5,1,52004.68,2.74
A014,2024-01,25.25,2,41016.54,4.37
A014,2024-02,10.0,1,50911.72,4.92
A014,2024-03,49.61,1,43967.18,4.32
A014,2024-04,49.42,2,51021.28,3.4
A014,2024-05,32.05,3,59266.28,3.72
A014,2024-06,19.83,1,253463.92,2.28
A014,2024-07,79.63,1,63323.07,2.76
A014,2024-08,12.34,1,55572.79,4.49
A014,2024-09,18.35,1,14389.26,2.53
A014,2024-10,25.52,1,30527.77,2.09
A014,2024-11,43.77,1,167228.12,3.32
A014,2024-12,52.23,1,62549.3,2.75
A014,2025-01,10.0,2,72111.74,2.19
A014,2025-02,44.14,3,41903.46,4.47
A014,2025-03,16.9,2,55897.11,2.28
A014,2025-04,56.13,2,42350.09,2.68
A014,2025-05,29.63,4,284220.56,3.2
A014,2025-06,51.13,3,50599.46,2.5
A014,2025-07,18.88,2,61077.61,3.97
A014,2025-08,10.0,3,42584.05,3.45
A014,2025-09,16.62,3,111321.33,2.3
A014,2025-10,63.06,2,62370.47,4.01
A014,2025-11,10.0,1,57637.68,4.78
A014,2025-12,49.4,2,41758.8,2.86
A014,2026-01,35.42,2,49360.48,4.77
A014,2026-02,18.89,2,41134.24,4.83
A014,2026-03,45.29,1,62282.86,2.54
A014,2026-04,33.04,2,53042.31,3.02
A014,2026-05,82.6,1,61564.14,3.97
A014,2026-06,10.0,1,58267.38,3.0
A015,2023-01,37.29,5,132532.87,3.23
A015,2023-02,72.13,1,114610.41,3.31
A015,2023-03,28.47,3,129708.76,3.12
A015,2023-04,35.51,4,136359.86,2.91
A015,2023-05,77.67,3,153972.04,4.35
A015,2023-06,24.64,2,91159.81,4.17
A015,2023-07,39.38,2,23400.31,3.14
A015,2023-08,34.36,2,110579.01,3.56
A015,2023-09,10.0,1,24937.34,3.61
A015,2023-10,84.56,4,197063.78,2.51
A015,2023-11,26.74,2,152098.72,4.33
A015,2023-12,34.18,1,142164.69,3.65
A015,2024-01,10.0,5,123133.18,4.42
A015,2024-02,13.99,2,147482.97,4.54
A015,2024-03,43.23,1,137248.77,3.53
A015,2024-04,21.75,5,113373.48,2.79
