remboursement_id,credit_id,date_echeance,date_paiement,montant_attendu,montant_paye,jours_retard,statut_remboursement
R00000150,CR000006,2021-12-02,2021-11-29,1020.18,1020.18,0,Payé à temps
R00000151,CR000006,2022-01-02,2022-01-04,1020.18,1020.18,2,Payé en retard
R00000152,CR000006,2022-02-02,2022-01-28,1020.18,1020.18,0,Payé à temps
R00000153,CR000006,2022-03-02,2022-02-25,1020.18,1020.18,0,Payé à temps
R00000154,CR000006,2022-04-02,2022-04-03,1020.18,1020.18,1,Payé en retard
R00000155,CR000006,2022-05-02,2022-04-29,1020.18,1020.18,0,Payé à temps
R00000156,CR000006,2022-06-02,2022-06-05,1020.18,1020.18,3,Payé en retard
R00000157,CR000006,2022-07-02,2022-06-28,1020.18,1020.18,0,Payé à temps
R00000158,CR000006,2022-08-02,2022-08-03,1020.18,1020.18,1,Payé en retard
R00000159,CR000006,2022-09-02,2022-08-28,1020.18,1020.18,0,Payé à temps
R00000160,CR000006,2022-10-02,2022-09-30,1020.18,1020.18,0,Payé à temps
R00000161,CR000006,2022-11-02,2022-10-31,1020.18,1020.18,0,Payé à temps
R00000162,CR000006,2022-12-02,2022-11-28,1020.18,1020.18,0,Payé à temps
R00000163,CR000006,2023-01-02,2023-01-05,1020.18,1020.18,3,Payé en retard
R00000164,CR000006,2023-02-02,2023-02-02,1020.18,1020.18,0,Payé à temps
R00000165,CR000006,2023-03-02,2023-03-03,1020.18,1020.18,1,Payé en retard
R00000166,CR000007,2024-10-22,2024-10-18,310.38,310.38,0,Payé à temps
R00000167,CR000007,2024-11-22,2024-11-22,310.38,310.38,0,Payé à temps
R00000168,CR000007,2024-12-22,2024-12-17,310.38,310.38,0,Payé à temps
R00000169,CR000007,2025-01-22,2025-01-20,310.38,310.38,0,Payé à temps
R00000170,CR000007,2025-02-22,2025-05-04,310.38,310.38,71,Payé en retard
R00000171,CR000007,2025-03-22,2025-03-18,310.38,310.38,0,Payé à temps
R00000172,CR000007,2025-04-22,2025-04-20,310.38,310.38,0,Payé à temps
R00000173,CR000007,2025-05-22,2025-05-21,310.38,310.38,0,Payé à temps
R00000174,CR000007,2025-06-22,2025-09-05,310.38,310.38,75,Payé en retard
R00000175,CR000007,2025-07-22,2025-07-19,310.38,310.38,0,Payé à temps
R00000176,CR000007,2025-08-22,2025-08-18,310.38,310.38,0,Payé à temps
R00000177,CR000007,2025-09-22,2025-10-12,310.38,310.38,20,Payé en retard
R00000178,CR000007,2025-10-22,2025-10-20,310.38,310.38,0,Payé à temps
R00000179,CR000007,2025-11-22,2025-11-25,310.38,310.38,3,Payé en retard
R00000180,CR000007,2025-12-22,2025-12-25,310.38,310.38,3,Payé en retard
R00000181,CR000007,2026-01-22,2026-01-24,310.38,310.38,2,Payé en retard
R00000182,CR000007,2026-02-22,2026-02-23,310.38,310.38,1,Payé en retard
R00000183,CR000007,2026-03-22,2026-03-22,310.38,310.38,0,Payé à temps
R00000184,CR000007,2026-04-22,2026-04-22,310.38,310.38,0,Payé à temps
R00000185,CR000007,2026-05-22,2026-05-25,310.38,310.38,3,Payé en retard
R00000186,CR000007,2026-06-22,2026-06-21,310.38,310.38,0,Payé à temps
R00000187,CR000008,2024-10-19,2024-11-01,265.18,265.18,13,Payé en retard
R00000188,CR000008,2024-11-19,2024-11-23,265.18,265.18,4,Payé en retard
R00000189,CR000008,2024-12-19,2025-01-05,265.18,265.18,17,Payé en retard
R00000190,CR000008,2025-01-19,2025-02-16,265.18,265.18,28,Payé en retard
R00000191,CR000008,2025-02-19,2025-02-20,265.18,265.18,1,Payé en retard
R00000192,CR000008,2025-03-19,2025-03-17,265.18,265.18,0,Payé à temps
R00000193,CR000008,2025-04-19,2025-04-20,265.18,265.18,1,Payé en retard
R00000194,CR000008,2025-05-19,2025-06-17,265.18,265.18,29,Payé en retard
R00000195,CR000008,2025-06-19,2025-06-14,265.18,265.18,0,Payé à temps
R00000196,CR000008,2025-07-19,2025-07-18,265.18,265.18,0,Payé à temps
R00000197,CR000008,2025-08-19,2025-08-21,265.18,265.18,2,Payé en retard
R00000198,CR000008,2025-09-19,2025-09-21,265.18,265.18,2,Payé en retard
R00000199,CR000008,2025-10-19,2025-10-14,265.18,265.18,0,Payé à temps
R00000200,CR000008,2025-11-19,2025-11-14,265.18,265.18,0,Payé à temps
R00000201,CR000008,2025-12-19,2025-12-17,265.18,265.18,0,Payé à temps
R00000202,CR000008,2026-01-19,2026-01-22,265.18,265.18,3,Payé en retard
R00000203,CR000008,2026-02-19,2026-02-20,265.18,265.18,1,Payé en retard
R00000204,CR000008,2026-03-19,2026-03-15,265.18,265.18,0,Payé à temps
R00000205,CR000008,2026-04-19,2026-04-22,265.18,265.18,3,Payé en retard
R00000206,CR000008,2026-05-19,2026-05-21,265.18,265.18,2,Payé en retard
R00000207,CR000008,2026-06-19,2026-09-03,265.18,265.18,76,Payé en retard
R00000208,CR000009,2021-10-19,2021-10-16,855.14,855.14,0,Payé à temps
R00000209,CR000009,2021-11-19,2021-11-17,855.14,855.14,0,Payé à temps
R00000210,CR000009,2021-12-19,2021-12-22,855.14,855.14,3,Payé en retard
R00000211,CR000009,2022-01-19,2022-01-14,855.14,855.14,0,Payé à temps
R00000212,CR000009,2022-02-19,2022-02-22,855.14,855.14,3,Payé en retard
R00000213,CR000009,2022-03-19,2022-03-22,855.14,855.14,3,Payé en retard
R00000214,CR000009,2022-04-19,2022-04-16,855.14,855.14,0,Payé à temps
R00000215,CR000009,2022-05-19,2022-05-17,855.14,855.14,0,Payé à temps
R00000216,CR000009,2022-06-19,2022-06-16,855.14,855.14,0,Payé à temps
R00000217,CR000009,2022-07-19,2022-07-18,855.14,855.14,0,Payé à temps
R00000218,CR000009,2022-08-19,2022-10-02,855.14,855.14,44,Payé en retard
R00000219,CR000009,2022-09-19,2022-09-20,855.14,855.14,1,Payé en retard
R00000220,CR000009,2022-10-19,2022-10-20,855.14,855.14,1,Payé en retard
R00000221,CR000009,2022-11-19,2022-11-16,855.14,855.14,0,Payé à temps
R00000222,CR000009,2022-12-19,2023-01-14,855.14,695.84,26,Payé en retard
R00000223,CR000009,2023-01-19,2023-01-20,855.14,855.14,1,Payé en retard
R00000224,CR000009,2023-02-19,2023-02-16,855.14,855.14,0,Payé à temps
R00000225,CR000009,2023-03-19,2023-03-15,855.14,855.14,0,Payé à temps
R00000226,CR000009,2023-04-19,2023-04-14,855.14,855.14,0,Payé à temps
R00000227,CR000009,2023-05-19,2023-05-18,855.14,855.14,0,Payé à temps
R00000228,CR000009,2023-06-19,2023-06-18,855.14,855.14,0,Payé à temps
R00000229,CR000009,2023-07-19,2023-07-18,855.14,855.14,0,Payé à temps
R00000230,CR000009,2023-08-19,2023-08-21,855.14,855.14,2,Payé en retard
R00000231,CR000009,2023-09-19,2023-10-28,855.14,855.14,39,Payé en retard
R00000232,CR000010,2022-11-02,2022-11-03,633.8,633.8,1,Payé en retard
R00000233,CR000010,2022-12-02,2022-12-02,633.8,633.8,0,Payé à temps
R00000234,CR000010,2023-01-02,2022-12-31,633.8,633.8,0,Payé à temps
R00000235,CR000010,2023-02-02,2023-03-02,633.8,633.8,28,Payé en retard
R00000236,CR000010,2023-03-02,2023-03-04,633.8,633.8,2,Payé en retard
R00000237,CR000010,2023-04-02,2023-05-15,633.8,633.8,43,Payé en retard
R00000238,CR000010,2023-05-02,2023-05-23,633.8,633.8,21,Payé en retard
R00000239,CR000010,2023-06-02,2023-06-02,633.8,633.8,0,Payé à temps
R00000240,CR000010,2023-07-02,2023-08-05,633.8,633.8,34,Payé en retard
R00000241,CR000010,2023-08-02,2023-08-04,633.8,633.8,2,Payé en retard
R00000242,CR000010,2023-09-02,2023-09-04,633.8,633.8,2,Payé en retard
R00000243,CR000010,2023-10-02,2023-09-30,633.8,633.8,0,Payé à temps
R00000244,CR000010,2023-11-02,2023-11-04,633.8,633.8,2,Payé en retard
R00000245,CR000010,2023-12-02,2023-11-27,633.8,633.8,0,Payé à temps
R00000246,CR000010,2024-01-02,2023-12-28,633.8,633.8,0,Payé à temps
R00000247,CR000010,2024-02-02,2024-01-29,633.8,633.8,0,Payé à temps
R00000248,CR000010,2024-03-02,2024-03-05,633.8,633.8,3,Payé en retard
R00000249,CR000010,2024-04-02,2024-03-30,633.8,633.8,0,Payé à temps
R00000250,CR000010,2024-05-02,2024-05-04,633.8,633.8,2,Payé en retard
R00000251,CR000010,2024-06-02,2024-06-02,633.8,633.8,0,Payé à temps
R00000252,CR000010,2024-07-02,2024-07-02,633.8,633.8,0,Payé à temps
R00000253,CR000010,2024-08-02,2024-08-01,633.8,633.8,0,Payé à temps
R00000254,CR000010,2024-09-02,2024-09-05,633.8,633.8,3,Payé en retard
R00000255,CR000010,2024-10-02,2024-09-30,633.8,633.8,0,Payé à temps
R00000256,CR000010,2024-11-02,2024-12-28,633.8,633.8,56,Payé en retard
R00000257,CR000010,2024-12-02,2024-11-30,633.8,633.8,0,Payé à temps
R00000258,CR000010,2025-01-02,2025-01-04,633.8,633.8,2,Payé en retard
R00000259,CR000010,2025-02-02,2025-02-05,633.8,633.8,3,Payé en retard
R00000260,CR000010,2025-03-02,2025-03-04,633.8,633.8,2,Payé en retard
R00000261,CR000010,2025-04-02,2025-04-01,633.8,633.8,0,Payé à temps
R00000262,CR000010,2025-05-02,2025-06-24,633.8,633.8,53,Payé en retard
R00000263,CR000010,2025-06-02,2025-05-30,633.8,633.8,0,Payé à temps
R00000264,CR000010,2025-07-02,2025-07-01,633.8,633.8,0,Payé à temps
R00000265,CR000010,2025-08-02,2025-07-28,633.8,633.8,0,Payé à temps
R00000266,CR000010,2025-09-02,2025-08-29,633.8,633.8,0,Payé à temps
R00000267,CR000010,2025-10-02,2025-10-05,633.8,633.8,3,Payé en retard
R00000268,CR000010,2025-11-02,2025-11-04,633.8,633.8,2,Payé en retard
R00000269,CR000010,2025-12-02,2025-11-29,633.8,633.8,0,Payé à temps
R00000270,CR000010,2026-01-02,,633.8,0.0,86,Impayé
R00000271,CR000010,2026-02-02,2026-01-31,633.8,633.8,0,Payé à temps
R00000272,CR000010,2026-03-02,2026-02-25,633.8,633.8,0,Payé à temps
R00000273,CR000010,2026-04-02,2026-04-05,633.8,633.8,3,Payé en retard
R00000274,CR000010,2026-05-02,2026-04-28,633.8,633.8,0,Payé à temps
R00000275,CR000010,2026-06-02,2026-06-03,633.8,633.8,1,Payé en retard
R00000276,CR000011,2026-02-05,2026-04-22,455.61,455.61,76,Payé en retard
R00000277,CR000011,2026-03-05,2026-03-02,455.61,455.61,0,Payé à temps
R00000278,CR000011,2026-04-05,2026-04-06,455.61,455.61,1,Payé en retard
R00000279,CR000011,2026-05-05,2026-05-08,455.61,455.61,3,Payé en retard
R00000280,CR000011,2026-06-05,2026-05-31,455.61,455.61,0,Payé à temps
R00000281,CR000012,2021-05-20,2021-05-17,1748.17,1748.17,0,Payé à temps
R00000282,CR000012,2021-06-20,2021-06-15,1748.17,1748.17,0,Payé à temps
R00000283,CR000012,2021-07-20,2021-07-22,1748.17,1748.17,2,Payé en retard
R00000284,CR000012,2021-08-20,2021-08-19,1748.17,1748.17,0,Payé à temps
R00000285,CR000012,2021-09-20,2021-09-15,1748.17,1748.17,0,Payé à temps
R00000286,CR000012,2021-10-20,2021-10-18,1748.17,1748.17,0,Payé à temps
R00000287,CR000012,2021-11-20,2021-11-18,1748.17,1748.17,0,Payé à temps
R00000288,CR000012,2021-12-20,2021-12-17,1748.17,1748.17,0,Payé à temps
R00000289,CR000012,2022-01-20,2022-01-21,1748.17,1748.17,1,Payé en retard
R00000290,CR000012,2022-02-20,2022-02-17,1748.17,1748.17,0,Payé à temps
R00000291,CR000012,2022-03-20,2022-03-21,1748.17,1748.17,1,Payé en retard
R00000292,CR000012,2022-04-20,2022-04-22,1748.17,1748.17,2,Payé en retard
R00000293,CR000012,2022-05-20,2022-05-20,1748.17,1748.17,0,Payé à temps
R00000294,CR000012,2022-06-20,2022-06-20,1748.17,1748.17,0,Payé à temps
R00000295,CR000012,2022-07-20,2022-07-15,1748.17,1748.17,0,Payé à temps
R00000296,CR000012,2022-08-20,2022-08-17,1748.17,1748.17,0,Payé à temps
R00000297,CR000012,2022-09-20,2022-09-19,1748.17,1748.17,0,Payé à temps
R00000298,CR000012,2022-10-20,2022-10-23,1748.17,1748.17,3,Payé en retard
R00000299,CR000012,2022-11-20,2022-11-19,1748.17,1748.17,0,Payé à temps
R00000300,CR000012,2022-12-20,2022-12-19,1748.17,1748.17,0,Payé à temps
R00000301,CR000012,2023-01-20,2023-01-22,1748.17,1748.17,2,Payé en retard
R00000302,CR000012,2023-02-20,2023-02-19,1748.17,1748.17,0,Payé à temps
R00000303,CR000012,2023-03-20,2023-03-16,1748.17,1748.17,0,Payé à temps
R00000304,CR000012,2023-04-20,2023-04-19,1748.17,1748.17,0,Payé à temps
R00000305,CR000012,2023-05-20,2023-05-17,1748.17,1748.17,0,Payé à temps
R00000306,CR000012,2023-06-20,2023-06-23,1748.17,1748.17,3,Payé en retard
R00000307,CR000012,2023-07-20,2023-07-22,1748.17,1748.17,2,Payé en retard
R00000308,CR000012,2023-08-20,2023-08-23,1748.17,1748.17,3,Payé en retard
R00000309,CR000012,2023-09-20,2023-09-23,1748.17,1748.17,3,Payé en retard
R00000310,CR000012,2023-10-20,2023-10-18,1748.17,1748.17,0,Payé à temps
R00000311,CR000012,2023-11-20,2023-11-19,1748.17,1748.17,0,Payé à temps
R00000312,CR000012,2023-12-20,2023-12-18,1748.17,1748.17,0,Payé à temps
R00000313,CR000012,2024-01-20,2024-01-20,1748.17,1748.17,0,Payé à temps
R00000314,CR000012,2024-02-20,2024-02-19,1748.17,1748.17,0,Payé à temps
R00000315,CR000012,2024-03-20,2024-03-15,1748.17,1748.17,0,Payé à temps
R00000316,CR000012,2024-04-20,2024-04-23,1748.17,1748.17,3,Payé en retard
R00000317,CR000012,2024-05-20,2024-05-19,1748.17,1748.17,0,Payé à temps
R00000318,CR000012,2024-06-20,2024-06-22,1748.17,1748.17,2,Payé en retard
R00000319,CR000012,2024-07-20,2024-07-22,1748.17,1748.17,2,Payé en retard
R00000320,CR000012,2024-08-20,2024-08-17,1748.17,1748.17,0,Payé à temps
R00000321,CR000012,2024-09-20,2024-09-21,1748.17,1748.17,1,Payé en retard
R00000322,CR000012,2024-10-20,2024-10-15,1748.17,1748.17,0,Payé à temps
R00000323,CR000012,2024-11-20,2024-11-17,1748.17,1748.17,0,Payé à temps
R00000324,CR000012,2024-12-20,2024-12-22,1748.17,1748.17,2,Payé en retard
R00000325,CR000012,2025-01-20,2025-01-17,1748.17,1748.17,0,Payé à temps
R00000326,CR000012,2025-02-20,2025-02-18,1748.17,1748.17,0,Payé à temps
R00000327,CR000012,2025-03-20,2025-03-19,1748.17,1748.17,0,Payé à temps
R00000328,CR000012,2025-04-20,2025-04-20,1748.17,1748.17,0,Payé à temps
R00000329,CR000012,2025-05-20,2025-05-21,1748.17,1748.17,1,Payé en retard
R00000330,CR000012,2025-06-20,2025-06-20,1748.17,1748.17,0,Payé à temps
R00000331,CR000012,2025-07-20,2025-07-16,1748.17,1748.17,0,Payé à temps
R00000332,CR000012,2025-08-20,2025-08-21,1748.17,1748.17,1,Payé en retard
