ligne_source,credit_id,client_id,agence_id,type_credit,date_octroi,montant_initial,taux_annuel,duree_mois,mensualite_theorique,score_risque_octroi,statut_credit,date_fin_prevue
88,CR000088,C004060,A021,Prêt immobilier,2023-10-15,230484.37,2.258,180,1510.7,20,En cours,2038-10-15
89,CR000089,C004025,A001,Prêt automobile,2021-02-08,28277.01,-4.013,72,442.57,73,En cours,2027-02-08
90,CR000090,C000134,A011,Prêt immobilier,2026-03-19,242521.62,3.361,180,1717.2,82,En cours,2041-03-19
91,CR000091,C003457,A011,Prêt personnel,2021-04-28,4938.05,8.578,24,224.64,56,Terminé,2023-04-28
92,CR000092,C002120,A020,Prêt immobilier,2024-07-17,199679.45,2.671,180,1347.6,48,En cours,2039-07-17
93,CR000093,C004435,A021,Prêt immobilier,2021-05-02,231140.43,2.906,300,1084.77,40,En cours,2046-05-02
94,CR000094,C004061,A021,Prêt immobilier,2024-04-13,166556.56,1.547,180,1037.42,37,en cours,2039-04-13
95,CR000095,C003738,A016,Prêt personnel,2021-05-25,8215.67,5.217,12,704.14,62,Terminé,2022-05-25
96,CR000096,C003156,A014,Prêt immobilier,2024-04-27,52070.91,4.717,240,335.57,64,En cours,2044-04-27
97,CR000097,C002806,A005,Prêt personnel,2022-07-18,1500.0,6.2,24,66.62,39,Terminé,2024-07-18
98,CR000098,C005419,A013,Prêt immobilier,2024-08-04,272754.24,4.233,240,1686.5,47,En cours,2044-08-04
99,CR000099,C001410,A023,Prêt personnel,2022-02-11,11905.43,10.951,24,554.62,69,Terminé,2024-02-11
100,CR000100,C000121,A008,Prêt automobile,2021-08-14,10873.91,5.492,60,207.66,81,En cours,2026-08-14
101,CR000101,C005676,A004,Prêt personnel,2022-12-12,21761.88,3.756,24,942.65,83,Terminé,2024-12-12
102,CR000102,C001811,A023,Prêt immobilier,2023-08-20,107020.45,3.602,180,770.45,60,En cours,2038-08-20
103,CR000103,C002412,A003,Prêt immobilier,2026-03-19,298939.11,2.594,180,2006.58,56,En cours,2041-03-19
104,CR000104,C002440,A004,Prêt automobile,2025-05-29,6380.52,5.574,48,148.6,7,En cours,2029-05-29
105,CR000105,C005005,A024,Prêt automobile,2024-06-27,28721.47,4.553,60,536.15,59,En cours,2029-06-27
106,CR000106,C005033,A016,Prêt personnel,2021-12-25,14238.26,11.39,36,468.78,42,en cours,2024-12-25
107,CR000107,C003937,A019,Prêt immobilier,2023-03-26,85584.92,2.076,180,553.75,78,En cours,2038-03-26
108,CR000108,C002165,A004,Prêt immobilier,2021-08-18,167077.85,4.487,300,927.43,53,En cours,2046-08-18
109,CR000109,C002929,A006,Prêt personnel,2024-09-13,13350.39,8.013,48,326.0,56,En cours,2028-09-13
110,CR000110,C004783,A002,Prêt immobilier,2022-12-03,147627.63,4.396,180,1121.5,44,En cours,2037-12-03
111,CR000111,C002320,A006,Prêt immobilier,2023-12-28,303382.92,1.671,180,1906.66,30,En cours,2038-12-28
112,CR000112,C005492,A005,PRÊT AUTOMOBILE,2023-11-26,15833.97,5.83,36,480.48,17,En cours,2026-11-26
113,CR000113,C003622,A011,Prêt immobilier,2023-02-22,246463.61,4.76,240,1594.1,22,En cours,2043-02-22
114,CR000114,C002361,A013,Prêt automobile,2025-03-06,38241.85,6.14,60,741.81,35,En cours,2030-03-06
115,CR000115,C003621,A009,Prêt immobilier,2021-03-08,308422.23,3.037,240,1716.24,47,En cours,2041-03-08
116,CR000116,C005909,A015,Prêt personnel,2024-10-26,24211.94,4.682,12,2069.2,88,Terminé,2025-10-26
117,CR000117,C004360,A019,Prêt personnel,2025-08-22,11409.13,9.355,24,523.08,33,En cours,2027-08-22
118,CR000118,C001706,A012,Prêt personnel,2024-02-03,9382.1,7.554,60,188.24,70,En cours,2029-02-03
119,CR000119,C005098,A007,Prêt immobilier,2025-11-13,336202.82,3.34,180,2377.18,20,En cours,2040-11-13
120,CR000120,C001595,A020,Prêt automobile,2023-09-10,5000.0,5.61,36,151.23,33,En cours,2026-09-10
121,CR000121,C005338,A014,Prêt automobile,2021-02-21,18862.93,4.247,72,297.24,43,En cours,2027-02-21
122,CR000122,C001085,A017,Prêt immobilier,2023-04-27,102067.15,3.817,300,528.48,51,En cours,2048-04-27
123,CR000123,C002951,A022,Prêt automobile,2022-08-19,23959.25,6.25,72,399.9,45,En cours,2028-08-19
124,CR000124,C004666,A005,Prêt immobilier,2022-03-27,61555.65,3.906,240,369.97,47,En cours,2042-03-27
125,CR000125,C003702,A011,Prêt automobile,2024-11-18,32410.97,5.302,60,616.13,69,En cours,2029-11-18
126,CR000126,C004106,A009,Prêt immobilier,2021-12-19,180338.07,1.621,300,731.56,77,En cours,2046-12-19
127,CR000127,C005147,A019,Prêt immobilier,2022-07-24,137695.46,4.053,240,838.23,50,En cours,2042-07-24
128,CR000128,C002041,A004,Prêt automobile,2022-02-16,8544.09,5.755,48,199.7,82,Terminé,2026-02-16
129,CR000129,C002649,A007,Prêt automobile,2022-04-17,35663.73,6.889,72,606.13,19,En cours,2028-04-17
130,CR000130,C004079,A005,Prêt immobilier,2023-01-27,199119.2,2.663,180,1343.06,56,En cours,2038-01-27
131,CR000131,C005608,A020,Prêt automobile,2023-05-16,31767.6,3.402,36,929.48,72,Terminé,2026-05-16
132,CR000132,C004325,A023,Prêt immobilier,2022-07-27,205140.62,3.762,180,1493.09,75,En cours,2037-07-27
133,CR000133,C001404,A017,Prêt immobilier,2022-01-09,85494.18,3.432,180,608.34,53,En cours,2037-01-09
134,CR000134,C005379,A005,Prêt automobile,2022-02-20,31823.59,5.931,60,614.21,47,En cours,2027-02-20
135,CR000135,C001268,A020,Prêt immobilier,2025-03-18,235429.8,4.609,300,1323.14,61,En cours,2050-03-18
136,CR000136,C004212,A012,Prêt personnel,2022-02-15,10795.63,8.127,48,264.2,38,Terminé,2026-02-15
137,CR000137,C003812,A022,Prêt personnel,2025-11-27,14139.41,3.522,36,414.45,74,En cours,2028-11-27
138,CR000138,C001121,A025,Prêt immobilier,2023-01-20,219008.94,2.109,180,1420.34,66,En cours,2038-01-20
139,CR000139,C002624,A025,Prêt immobilier,2024-11-29,186339.41,3.87,240,1116.43,52,En cours,2044-11-29
140,CR000140,C004464,A023,Prêt immobilier,2022-05-17,244093.49,2.293,300,1069.8,19,En cours,2047-05-17
141,CR000141,C005245,A013,Prêt personnel,2026-02-24,11115.64,8.9,36,352.96,69,En cours,2029-02-24
142,CR000142,C000052,A021,Prêt automobile,2022-05-15,5000.0,7.09,48,119.94,69,Terminé,2026-05-15
143,CR000143,C000221,A025,Prêt immobilier,2025-09-11,45000.0,4.768,180,350.44,75,En cours,2040-09-11
144,CR000144,C002871,A017,Prêt immobilier,2025-08-17,223216.02,1.215,180,1357.16,54,En cours,2040-08-17
145,CR000145,C002398,A012,Prêt automobile,2022-09-14,15780.9,3.861,72,245.9,52,En cours,2028-09-14
146,CR000146,C005111,A015,Prêt immobilier,2021-06-18,131962.21,3.488,240,764.52,50,En cours,2041-06-18
147,CR000147,C005525,A013,Prêt immobilier,2024-09-26,283982.75,3.892,180,2085.27,74,En cours,2039-09-26
148,CR000148,C005920,A006,Prêt automobile,2025-11-07,14949.34,3.146,72,228.11,60,En cours,2031-11-07
149,CR000149,C003759,A002,Prêt personnel,2023-12-19,1500.0,5.401,24,66.08,67,Terminé,2025-12-19
150,CR000150,C001088,A025,Prêt automobile,2022-11-15,14012.37,3.951,36,413.4,72,Terminé,2025-11-15
151,CR000151,C003274,A008,Prêt immobilier,2025-12-14,258410.54,2.46,300,1154.11,55,En cours,2050-12-14
152,CR000152,C001242,A013,Prêt immobilier,2024-05-10,247838.21,3.096,180,1722.98,52,En cours,2039-05-10
153,CR000153,C003691,A020,Prêt personnel,2026-01-31,6608.81,4.715,12,564.9,80,En cours,2027-01-31
154,CR000154,C005253,A007,Prêt automobile,2023-04-17,34208.28,3.934,48,771.38,58,En cours,2027-04-17
155,CR000155,C001063,A024,Prêt immobilier,2025-05-16,217907.71,3.432,300,1082.99,61,En cours,2050-05-16
156,CR000156,C000900,A025,Prêt immobilier,2022-01-16,264836.62,1.653,240,1296.63,90,En cours,2042-01-16
157,CR000157,C002168,A010,Prêt immobilier,2022-04-21,116102.69,3.504,180,830.25,36,En cours,2037-04-21
158,CR000158,C002381,A006,Prêt immobilier,2022-05-19,250620.17,4.582,240,1596.72,94,En cours,2042-05-19
159,CR000159,C005566,A009,Prêt personnel,2024-08-03,19569.88,4.967,12,1675.03,51,Terminé,2025-08-03
160,CR000160,C002950,A006,PRÊT AUTOMOBILE,2023-06-07,25306.01,6.11,60,490.53,48,En cours,2028-06-07
161,CR000161,C005923,A016,Prêt immobilier,2022-03-21,258426.56,4.711,240,1664.48,53,En cours,2042-03-21
162,CR000162,C000536,A006,Prêt immobilier,2021-08-31,259768.39,1.402,180,1601.02,58,En cours,2036-08-31
163,CR000163,C001785,A006,Prêt immobilier,2022-06-04,211407.41,-2.113,240,1080.82,10,En cours,2042-06-04
164,CR000164,C002786,A010,Prêt personnel,2023-06-26,16546.15,9.062,12,1447.46,26,Terminé,2024-06-26
165,CR000165,C005757,A009,Prêt personnel,2025-04-27,15710.64,7.129,48,377.15,66,En cours,2029-04-27
166,CR000166,C004352,A019,Prêt automobile,2022-09-26,16952.68,6.767,36,521.64,28,Terminé,2025-09-26
167,CR000167,C005632,A009,Prêt immobilier,2022-01-22,200320.36,1.301,300,782.56,42,en cours,2047-01-22
168,CR000168,C000259,A023,Prêt personnel,2025-11-10,15413.55,7.314,24,692.3,45,En cours,2027-11-10
169,CR000169,C003457,A011,Prêt personnel,2022-06-12,9410.69,6.381,24,418.71,61,Terminé,2024-06-12
170,CR000170,C001185,A012,Prêt automobile,2022-02-22,31710.84,6.059,60,613.93,51,En cours,2027-02-22
171,CR000171,C003299,A013,Prêt automobile,2025-11-14,34131.21,5.729,72,561.29,74,En cours,2031-11-14
172,CR000172,C003652,A016,Prêt immobilier,2023-05-21,272868.23,3.345,180,1929.98,34,En cours,2038-05-21
173,CR000173,C001596,A024,Prêt immobilier,2021-12-05,201567.71,1.982,240,1017.99,47,En cours,2041-12-05
174,CR000174,C000904,A019,Prêt immobilier,2023-04-30,157944.67,4.296,180,1191.84,56,En cours,2038-04-30
175,CR000175,C004218,A010,Prêt automobile,2023-09-19,25335.96,6.801,36,780.0,69,En cours,2026-09-19
176,CR000176,C003038,A002,Prêt immobilier,2021-03-17,222043.9,2.887,180,1521.36,61,En cours,2036-03-17
177,CR000177,C001972,A002,Prêt personnel,2022-08-30,2672.27,7.412,36,83.02,38,Terminé,2025-08-30
178,CR000178,C004175,A006,Prêt automobile,2021-02-26,20620.22,7.136,36,637.98,73,Terminé,2024-02-26
179,CR000179,C001080,A003,Prêt automobile,2023-10-03,26852.11,3.345,60,486.62,65,En cours,2028-10-03
180,CR000180,C002875,A010,Prêt immobilier,2026-02-19,343065.37,2.533,300,1544.82,99,En cours,2051-02-19
181,CR000181,C002927,A017,Prêt automobile,2025-09-02,16194.87,-7.484,36,503.64,43,En cours,2028-09-02
182,CR000182,C003979,A008,Prêt personnel,2025-11-18,29039.0,4.302,60,538.77,34,En cours,2030-11-18
183,CR000183,C000956,A999,Prêt personnel,2021-06-25,6881.85,5.27,12,589.99,83,Terminé,2022-06-25
184,CR000184,C003074,A015,Prêt personnel,2022-04-02,4361.67,4.303,36,129.36,36,Terminé,2025-04-02
185,CR000185,C004765,A013,Prêt automobile,2024-06-21,15430.36,6.394,72,258.6,76,En cours,2030-06-21
186,CR000186,C001206,A016,Prêt automobile,2023-12-24,20058.92,3.047,48,444.41,58,En cours,2027-12-24
187,CR000187,C001554,A025,Prêt immobilier,2023-05-12,193262.87,2.443,180,1283.49,66,En cours,2038-05-12
188,CR000188,C005960,A999,Prêt immobilier,2023-01-27,241113.68,3.352,180,1706.27,76,En cours,2038-01-27
189,CR000189,C001686,A009,Prêt immobilier,2023-03-21,245029.19,4.607,180,1887.86,67,En cours,2038-03-21
190,CR000190,C001169,A020,Prêt immobilier,2025-01-13,192664.95,-4.455,180,1469.47,60,En cours,2040-01-13
191,CR000191,C005064,A013,Prêt automobile,2024-09-04,17912.78,5.64,48,417.73,35,En cours,2028-09-04
192,CR000192,C000740,A004,Prêt personnel,2024-05-22,11859.58,6.907,36,365.69,25,En cours,2027-05-22
193,CR000193,C001706,A012,Prêt immobilier,2022-08-07,133473.68,1.321,240,633.12,67,En cours,2042-08-07
194,CR000194,C005232,A001,Prêt immobilier,2021-03-31,230029.69,2.353,240,1202.57,68,En cours,2041-03-31
195,CR000195,C002131,A010,Prêt immobilier,2021-04-26,45000.0,4.116,300,240.41,31,En cours,2046-04-26
196,CR000196,C005140,A023,Prêt automobile,2023-02-27,6535.15,3.424,48,145.88,23,En cours,2027-02-27
197,CR000197,C004144,A025,Prêt personnel,2025-12-13,24358.9,10.565,24,1130.41,39,En cours,2027-12-13
198,CR000198,C004972,A012,Prêt immobilier,2022-02-05,234387.76,3.93,240,1411.69,24,En cours,2042-02-05
199,CR000199,C000607,A014,Prêt immobilier,2025-05-21,261800.29,1.892,240,1311.04,37,En cours,2045-05-21
200,CR000200,C000722,A011,Prêt automobile,2024-04-18,5000.0,3.761,72,77.68,69,En cours,2030-04-18
201,CR000201,C003542,A023,Prêt personnel,2025-04-24,13512.97,10.942,36,442.02,33,En cours,2028-04-24
202,CR000202,C005131,A015,Prêt personnel,2023-07-02,11841.61,7.954,24,535.32,58,Terminé,2025-07-02
203,CR000203,C003246,A011,Prêt immobilier,2026-03-14,270912.54,2.792,300,1255.62,82,En cours,2051-03-14
204,CR000204,C001029,A018,Prêt automobile,2022-11-05,5000.0,3.969,60,92.01,76,En cours,2027-11-05
205,CR000205,C003463,A024,Prêt immobilier,2025-06-08,241523.39,4.114,240,1478.14,77,En cours,2045-06-08
206,CR000206,C001685,A001,Prêt personnel,2024-10-29,25937.28,5.641,12,2228.05,60,Terminé,2025-10-29
207,CR000207,C003523,A022,Prêt automobile,2021-01-16,30360.93,7.447,48,733.34,50,Terminé,2025-01-16
208,CR000208,C000787,A025,Prêt personnel,2024-02-07,3546.55,9.548,36,113.69,65,En cours,2027-02-07
209,CR000209,C003860,A013,Prêt immobilier,2026-03-15,319958.83,2.216,300,1390.01,55,En cours,2051-03-15
210,CR000210,C000752,A001,Prêt personnel,2024-01-23,14932.48,9.389,36,477.55,22,En cours,2027-01-23
211,CR000211,C003908,A022,Prêt automobile,2023-08-13,10194.66,4.302,60,189.14,58,En cours,2028-08-13
212,CR000212,C001447,A015,Prêt personnel,2022-06-13,4348.49,9.041,36,138.36,39,Terminé,2025-06-13
213,CR000213,C004198,A018,Prêt immobilier,2025-12-07,244058.55,1.592,240,1188.01,54,En cours,2045-12-07
214,CR000214,C004784,A024,Prêt immobilier,2022-07-06,297607.18,3.001,180,2055.31,23,En cours,2037-07-06
215,CR000215,C004419,A019,Prêt immobilier,2025-03-18,63779.74,3.486,240,369.45,60,En cours,2045-03-18
216,CR000216,C002821,A015,Prêt immobilier,2025-08-31,92212.69,4.134,180,688.29,67,En cours,2040-08-31
217,CR000217,C001676,A017,Prêt immobilier,2021-04-28,97420.77,4.571,180,748.78,63,En cours,2036-04-28
218,CR000218,C001818,A007,Prêt immobilier,2025-09-17,247618.24,1.486,180,1535.47,30,En cours,2040-09-17
219,CR000219,C004775,A009,Prêt automobile,2022-03-15,13177.5,3.591,60,240.26,30,En cours,2027-03-15
220,CR000220,C001661,A007,Prêt automobile,2024-01-05,40056.15,4.828,72,641.92,35,En cours,2030-01-05
221,CR000221,C003938,A010,Prêt immobilier,2025-11-18,128558.82,4.787,240,833.37,20,En cours,2045-11-18
222,CR000222,C005574,A005,Prêt automobile,2026-03-06,30394.97,3.493,36,890.54,56,En cours,2029-03-06
223,CR000223,C002709,A025,Prêt automobile,2021-03-17,29411.34,5.76,48,687.49,51,Terminé,2025-03-17
224,CR000224,C000819,A020,Prêt personnel,2021-03-13,8131.59,10.117,24,375.67,31,Terminé,2023-03-13
225,CR000225,C005783,A003,Prêt automobile,2022-03-19,11539.24,3.172,48,256.29,38,Terminé,2026-03-19
226,CR000226,C003309,A013,Prêt personnel,2021-12-19,17826.03,6.475,12,1538.12,44,Terminé,2022-12-19
227,CR000227,C001011,A002,Prêt personnel,2022-07-24,22958.75,6.017,48,539.37,77,En cours,2026-07-24
228,CR000228,C004221,A013,Prêt personnel,2024-03-10,14365.65,6.24,60,279.34,31,En cours,2029-03-10
229,CR000229,C000392,A019,Prêt immobilier,2024-01-30,204783.04,3.172,240,1153.45,31,En cours,2044-01-30
230,CR000230,C003221,A004,Prêt personnel,2021-02-26,24086.88,11.422,36,793.4,71,Terminé,2024-02-26
231,CR000231,C004421,A012,Prêt automobile,2023-01-26,34856.41,7.33,72,599.8,59,En cours,2029-01-26
232,CR000232,C004853,A002,Prêt immobilier,2023-07-01,292519.65,4.219,180,2195.94,43,En cours,2038-07-01
233,CR000233,C002498,A001,Prêt personnel,2024-11-10,18381.24,10.611,48,471.61,16,En cours,2028-11-10
234,CR000234,C001269,A018,Prêt immobilier,2023-05-17,165238.55,3.036,300,786.71,67,En cours,2048-05-17
235,CR000235,C001463,A001,Prêt immobilier,2022-06-11,240827.95,2.064,240,1225.57,99,En cours,2042-06-11
236,CR000236,C001580,A012,Prêt immobilier,2025-03-07,304841.53,3.527,300,1530.53,57,En cours,2050-03-07
237,CR000237,C000622,A999,Prêt immobilier,2022-07-31,207396.2,3.214,180,1453.7,67,En cours,2037-07-31
