ligne_source,transaction_id,client_id,date_transaction,type_transaction,montant,sens,produit_id,agence_id,canal,statut,frais,devise
43,T000000043,C000761,2025-05-10 21:21:44,Prélèvement,-293.68,Débit,P002,A022,TPE,Validée,0.0,EUR
44,T000000044,C004873,2023-11-21 21:12:48,Paiement carte,-47.36,Débit,P003,A021,Agence,Validée,0.0,EUR
45,T000000045,C003965,2024-09-05 10:02:38,Prélèvement,-33.05,Débit,P001,A005,Agence,Validée,0.0,EUR
46,T000000046,C000642,2023-09-19 04:20:20,Virement reçu,305.49,Crédit,P002,A008,TPE,Validée,0.0,EUR
47,T000000047,C001384,2025-05-16 00:55:26,Paiement carte,-61.25,Débit,P008,A022,Application mobile,Validée,0.0,EUR
48,T000000048,C005290,2024-10-02 19:36:07,Retrait DAB,-61.97,Débit,P010,A007,TPE,Validée,0.0,EUR
49,T000000049,C001003,2024-08-04 18:54:16,Virement reçu,278.01,Crédit,P002,A022,Agence,Validée,0.0,EUR
50,T000000050,C003318,2025-05-07 17:11:04,Virement émis,-273.16,Débit,P004,A002,TPE,Validée,0.0,EUR
51,T000000051,C002789,2023-02-14 06:20:47,Dépôt,140.19,Crédit,P001,A013,Web,Validée,0.0,EUR
52,T000000052,C004786,2023-03-10 03:51:27,Virement émis,-49.98,Débit,P001,A019,Application mobile,Validée,0.0,EUR
53,T000000053,C002191,2026-02-17 07:17:11,Virement reçu,714.69,Crédit,P001,A017,Application mobile,Validée,0.0,EUR
54,T000000054,C001021,2024-01-26 09:57:36,Prélèvement,-112.08,Débit,P007,A006,TPE,Validée,0.0,EUR
55,T000000055,C002626,2023-08-13 02:58:54,Prélèvement,-35.67,Débit,P001,A009,Web,Validée,0.0,EUR
56,T000000056,C005607,2024-02-05 01:52:06,Virement émis,-119.25,Débit,P001,A014,DAB,Validée,0.0,EUR
57,T000000057,C002856,2025-07-27 20:29:56,Frais bancaires,-8.0,Débit,P002,A013,Application mobile,Validée,8.0,EUR
58,T000000058,C003743,2023-08-16 03:56:53,Paiement carte,-248.15,Débit,P002,A003,Agence,Validée,0.0,EUR
59,T000000059,C001053,2025-04-14 08:56:59,Paiement carte,-17.43,Débit,P002,A014,Web,Validée,0.0,EUR
60,T000000060,C005892,2024-04-19 12:36:51,Paiement carte,-279.62,Débit,P008,A008,Application mobile,Validée,0.0,EUR
61,T000000061,C004750,2025-11-29 04:48:44,Paiement carte,-93.41,Débit,P001,A007,Application mobile,Validée,0.0,EUR
62,T000000062,C001466,2025-03-24 23:40:45,Paiement carte,-27.8,Débit,P007,A017,Application mobile,Validée,0.0,EUR
63,T000000063,C000729,2023-11-21 11:23:38,Virement émis,-20.57,Débit,P001,A010,Application mobile,Validée,0.0,EUR
64,T000000064,C001892,2025-10-26 21:37:22,Virement reçu,65.33,Crédit,P001,A014,Application mobile,Validée,0.0,EUR
65,T000000065,C000105,2024-05-22 06:37:05,Paiement carte,-25.85,Débit,P002,A018,Application mobile,Validée,0.0,EUR
66,T000000066,C002657,2025-04-04 12:43:02,Frais bancaires,-2.5,Débit,P009,A002,Application mobile,Validée,2.5,EUR
67,T000000067,C001238,2023-10-07 18:56:52,Remboursement,212.52,Crédit,P001,A019,TPE,Validée,0.0,EUR
68,T000000068,C005017,2024-12-02 04:23:14,Paiement carte,-36.01,Débit,P008,A009,Application mobile,Validée,0.0,EUR
69,T000000069,C001434,2026-03-30 04:03:00,Prélèvement,-130.4,Débit,P002,A011,DAB,Validée,0.0,EUR
70,T000000070,C002882,2023-06-07 06:31:24,Virement émis,-111.58,Débit,P002,A024,Application mobile,Validée,0.0,EUR
71,T000000071,C002665,2025-09-06 07:41:25,Virement émis,-114.6,Débit,P004,A008,TPE,Validée,0.0,EUR
72,T000000072,C002709,2026-05-06 05:11:34,Prélèvement,-78.73,Débit,P007,A025,TPE,Validée,0.0,EUR
73,T000000073,C005218,2025-03-17 17:58:05,Dépôt,452.44,Crédit,P002,A017,Application mobile,Validée,0.0,EUR
74,T000000074,C000762,2024-08-09 19:56:17,Paiement carte,-145.8,Débit,P002,A001,TPE,Validée,0.0,EUR
75,T000000075,C000941,2023-11-18 14:04:59,Paiement carte,-37.07,Débit,P003,A025,TPE,Validée,0.0,EUR
76,T000000076,C005640,2024-02-28 16:31:39,Prélèvement,-26.91,Débit,P007,A019,TPE,Validée,0.0,EUR
77,T000000077,C000323,2025-09-08 06:30:08,Frais bancaires,-12.0,Débit,,A015,DAB,Validée,12.0,EUR
78,T000000078,C003118,2025-01-12 01:48:27,Frais bancaires,-45.0,Débit,P003,A016,Agence,Validée,45.0,EUR
79,T000000079,C004648,2026-03-18 12:31:34,Frais bancaires,-30.0,Débit,P001,A018,Application mobile,Validée,30.0,EUR
80,T000000080,C004914,2026-02-17 05:10:56,Retrait DAB,-54.98,Débit,P008,A015,Web,Validée,0.0,EUR
81,T000000081,C000016,2023-07-04 18:28:56,Paiement carte,-27.1,Débit,P001,A022,Application mobile,Validée,0.0,EUR
82,T000000082,C005355,2025-01-21 06:19:25,Remboursement,146.13,Crédit,P001,A018,Web,Validée,0.0,EUR
83,T000000083,C001839,2024-02-27 15:01:09,Prélèvement,-263.23,Débit,P006,A022,Agence,Validée,0.0,EUR
84,T000000084,C004105,2026-02-04 22:02:42,Paiement carte,-110.82,Débit,P003,A025,Agence,Validée,0.0,EUR
85,T000000085,C003333,2023-01-26 03:17:32,Virement émis,-58.86,Débit,P009,A020,TPE,Validée,0.0,EUR
86,T000000086,C005574,2026-02-10 13:21:16,Prélèvement,-17.64,Débit,P008,A005,Web,Validée,0.0,EUR
87,T000000087,C004701,2023-01-28 22:19:45,Paiement carte,-51.84,Débit,P001,A004,Application mobile,Validée,0.0,EUR
88,T000000088,C000479,2025-04-26 13:11:43,Paiement carte,-147.17,Débit,P001,A008,Agence,Validée,0.0,EUR
89,T000000089,C004232,2023-12-19 23:45:58,Remboursement,341.4,Crédit,P001,A015,TPE,Validée,0.0,EUR
90,T000000090,C004095,2024-07-02 07:20:23,Paiement carte,-54.12,Débit,P001,A022,DAB,Rejetée,0.0,EUR
91,T000000091,C004153,2025-06-07 10:26:36,Paiement carte,-211.53,débit,P003,A019,Application mobile,Validée,0.0,EUR
92,T000000092,C001227,2026-01-10 19:32:18,Virement reçu,304.69,Crédit,P002,A018,DAB,Validée,0.0,EUR
93,T000000093,C003844,2023-10-28 07:17:01,Virement émis,-136.48,Débit,P002,A014,DAB,Validée,0.0,EUR
94,T000000094,C004746,2026-02-11 16:29:40,Paiement carte,-192.62,Débit,P002,A021,Application mobile,Validée,0.0,EUR
95,T000000095,C005380,2023-04-20 21:12:01,Virement émis,-103.51,Débit,P007,A023,Application mobile,Validée,0.0,EUR
96,T000000096,C000058,2026-04-19 17:38:51,Virement reçu,62.22,Crédit,P008,A014,TPE,Validée,0.0,EUR
97,T000000097,C002823,2025-11-19 20:23:00,Paiement carte,-172.67,Débit,P007,A023,TPE,Validée,0.0,EUR
98,T000000098,C004565,2024-09-15 23:50:54,Remboursement,83.73,Crédit,P004,A007,TPE,Validée,0.0,EUR
99,T000000099,C002027,2025-10-19 10:56:39,Paiement carte,-23.56,Débit,P001,A018,Agence,validee,0.0,EUR
100,T000000100,C004824,2023-11-21 19:04:43,Retrait DAB,-117.81,Débit,P003,A023,TPE,Validée,0.0,EUR
101,T000000101,C000527,2026-04-20 17:41:51,Virement reçu,536.13,Crédit,P010,A014,Agence,Validée,0.0,EUR
102,T000000102,C003610,2024-04-20 02:44:44,Virement reçu,448.04,Crédit,P009,A022,TPE,Validée,0.0,EUR
103,T000000103,C005007,2026-06-08 18:40:43,Paiement carte,-26.15,Débit,P002,A005,Application mobile,validee,0.0,EUR
104,T000000104,C002285,2026-02-10 03:57:44,Retrait DAB,-393.69,Débit,P002,A003,Agence,Validée,0.0,EUR
105,T000000105,C005215,2026-01-09 00:56:46,Paiement carte,-95.23,Débit,P009,A023,Application mobile,Validée,0.0,EUR
106,T000000106,C000105,2026-06-02 11:17:38,Prélèvement,-201.03,Débit,P002,A018,DAB,Validée,0.0,EUR
107,T000000107,C003072,2025-07-25 08:06:25,Prélèvement,-31.68,Débit,P004,A023,DAB,Validée,0.0,EUR
108,T000000108,C004893,2024-11-23 07:44:13,Virement reçu,145.95,Crédit,P004,A022,Application mobile,Validée,0.0,EUR
109,T000000109,C005465,2024-11-16 10:32:04,Dépôt,97.55,Crédit,P003,A011,Application mobile,Validée,0.0,EUR
110,T000000110,C001760,2026-04-13 08:15:10,Paiement carte,-92.67,Débit,P002,A008,TPE,Validée,0.0,EUR
111,T000000111,C004168,2024-12-22 18:44:44,Dépôt,265.27,Crédit,P008,A022,Web,Validée,0.0,EUR
112,T000000112,C003064,2026-06-28 16:01:47,Virement reçu,353.29,Crédit,P001,A001,Agence,Validée,0.0,EUR
113,T000000113,C002479,2023-10-07 19:06:41,Paiement carte,-103.54,Débit,P001,A024,Application mobile,Validée,0.0,EUR
114,T000000114,C005387,2023-11-12 22:27:44,Retrait DAB,-62.53,Débit,P002,A025,Web,Validée,0.0,EUR
115,T000000115,C001899,2025-06-03 04:38:03,Paiement carte,-22.52,Débit,P004,A007,TPE,Validée,0.0,EUR
116,T000000116,C004892,2026-06-07 17:57:16,Paiement carte,-176.56,Débit,P001,A025,TPE,Validée,0.0,EUR
117,T000000117,C005666,2024-07-15 01:14:52,Paiement carte,-60.99,Débit,P001,A001,TPE,Validée,0.0,EUR
118,T000000118,C005380,2026-05-25 12:57:13,Paiement carte,-26.36,Débit,P002,A023,Web,Validée,0.0,EUR
119,T000000119,C004385,2025-07-18 06:24:42,Paiement carte,-11.47,Débit,P009,A022,Web,Validée,0.0,EUR
120,T000000120,C000242,2023-03-02 10:34:56,Frais bancaires,-2.5,Débit,P001,A023,DAB,Validée,2.5,EUR
121,T000000121,C003727,2024-03-10 13:25:27,Paiement carte,-242.72,Débit,P001,A015,Application mobile,Validée,0.0,EUR
122,T000000122,C001362,2023-05-20 09:17:25,Paiement carte,-179.15,Débit,P004,A015,TPE,Validée,0.0,EUR
123,T000000123,C002828,2025-11-21 06:34:58,Virement émis,-36.54,Débit,P001,A020,TPE,Validée,0.0,EUR
124,T000000124,C003799,2025-12-30 11:50:48,Retrait DAB,-216.89,Débit,,A023,Application mobile,Validée,0.0,EUR
125,T000000125,C003190,2025-11-08 12:05:18,Paiement carte,-138.73,Débit,P005,A002,TPE,Validée,0.0,EUR
126,T000000126,C004181,2023-04-12 07:57:04,Prélèvement,-214.01,Débit,P002,A017,Application mobile,Validée,0.0,EUR
127,T000000127,C002290,2023-05-15 00:05:27,Prélèvement,-43.8,Débit,P004,A003,Web,Validée,0.0,EUR
128,T000000128,C004983,2025-06-28 12:41:19,Virement émis,-41.76,Débit,P001,A021,Agence,Validée,0.0,EUR
129,T000000129,C004689,2023-11-22 00:28:13,Prélèvement,-253.53,Débit,P001,A013,Application mobile,Validée,0.0,EUR
130,T000000130,C000557,2025-02-18 06:04:20,Prélèvement,-132.17,Débit,P007,A020,TPE,Validée,0.0,EUR
131,T000000131,C005848,2023-08-20 18:57:34,Virement émis,-128.54,Débit,P003,A007,Agence,Validée,0.0,EUR
132,T000000132,C003934,2024-03-25 17:51:24,Prélèvement,-111.37,Débit,P006,A021,Application mobile,Validée,0.0,EUR
133,T000000133,C003231,2025-09-02 13:51:43,Paiement carte,-83.95,Débit,P001,A006,Application mobile,Validée,0.0,EUR
134,T000000134,C003135,2023-02-05 03:58:37,Paiement carte,-36.12,Débit,P007,A017,Application mobile,Validée,0.0,EUR
135,T000000135,C003400,2024-12-05 12:35:54,Frais bancaires,-12.0,Débit,P002,A014,DAB,Validée,12.0,EUR
136,T000000136,C000882,2023-01-08 14:02:06,Paiement carte,-17.85,Débit,P008,A025,Application mobile,Validée,0.0,EUR
137,T000000137,C005395,2024-07-05 07:44:17,Paiement carte,-95.8,Débit,P003,A013,Application mobile,Validée,0.0,EUR
138,T000000138,C005396,2023-01-05 20:10:08,Virement reçu,117.67,Crédit,,A025,Application mobile,Validée,0.0,EUR
139,T000000139,C005745,2024-12-04 19:28:22,Paiement carte,-347.09,Débit,P001,A010,Web,Validée,0.0,EUR
140,T000000140,C000011,2024-12-31 15:10:43,Remboursement,146.65,Crédit,P009,A010,Web,Validée,0.0,EUR
141,T000000141,C005531,2023-01-12 12:56:05,Virement émis,-16.35,Débit,P001,A012,TPE,Validée,0.0,EUR
142,T000000142,C000944,2024-04-20 13:47:33,Remboursement,370.24,Crédit,P001,A017,TPE,Validée,0.0,EUR
143,T000000143,C002298,2025-05-03 19:46:10,Paiement carte,-130.9,Débit,P010,A020,Application mobile,Validée,0.0,EUR
144,T000000144,C003824,2023-06-09 15:05:28,Virement reçu,62.65,Crédit,P010,A017,Web,Validée,0.0,EUR
145,T000000145,C003382,2026-06-04 07:57:48,Paiement carte,-98.47,Débit,P002,A025,DAB,Validée,0.0,EUR
146,T000000146,C005094,2023-12-13 01:28:46,Retrait DAB,-48.45,Débit,P005,A003,Web,Validée,0.0,EUR
147,T000000147,C005336,2025-11-23 07:33:46,Paiement carte,-58.74,Débit,P002,A023,TPE,Validée,0.0,EUR
148,T000000148,C002576,2024-06-24 16:36:40,Virement émis,-51.94,Débit,P010,A025,Agence,Validée,0.0,EUR
149,T000000149,C000637,2023-07-12 23:55:11,Dépôt,628.3,Crédit,P009,A023,Web,Validée,0.0,EUR
150,T000000150,C003519,2024-09-11 23:13:08,Virement émis,-292.97,Débit,P001,A014,TPE,Validée,0.0,EUR
151,T000000151,C002856,2024-02-17 22:50:08,Virement émis,-139.44,Débit,P003,A013,Application mobile,Validée,0.0,EUR
152,T000000152,C002675,2024-10-31 08:36:01,Paiement carte,-66.03,Débit,P001,A017,TPE,Validée,0.0,EUR
153,T000000153,C002432,2025-11-26 12:05:50,Virement reçu,113.78,Crédit,P004,A002,Web,Validée,0.0,EUR
154,T000000154,C000496,2023-03-02 21:27:15,Prélèvement,-99.08,Débit,P001,A025,Agence,Validée,0.0,EUR
155,T000000155,C005565,2023-10-15 11:52:07,Paiement carte,-111.09,Débit,P007,A023,TPE,Validée,0.0,EUR
156,T000000156,C003715,2026-03-24 12:15:23,Paiement carte,-321.33,Débit,P007,A024,Web,Validée,0.0,EUR
157,T000000157,C003495,2026-05-19 06:09:25,Paiement carte,-91.8,Débit,P009,A021,Agence,Validée,0.0,EUR
158,T000000158,C005495,2024-07-26 19:27:56,Dépôt,111.75,Crédit,P002,A012,Application mobile,Validée,0.0,EUR
159,T000000159,C003439,2023-04-12 00:23:31,Paiement carte,-9.39,Débit,P005,A025,Application mobile,Validée,0.0,EUR
160,T000000160,C000379,2023-07-31 01:54:32,Prélèvement,-71.43,Débit,P001,A021,TPE,Validée,0.0,EUR
161,T000000161,C003142,2026-05-17 15:55:21,Virement reçu,363.16,Crédit,P005,A011,Application mobile,Validée,0.0,EUR
162,T000000162,C003271,2025-08-28 17:29:36,Paiement carte,-46.73,Débit,P003,A025,TPE,Validée,0.0,EUR
163,T000000163,C004111,2024-03-01 19:50:33,Prélèvement,-52.95,Débit,P003,A015,TPE,Validée,0.0,EUR
164,T000000164,C005318,2023-05-27 10:12:10,Prélèvement,-123.75,Débit,P007,A004,Agence,Validée,0.0,EUR
165,T000000165,C005445,2026-06-03 03:28:48,Virement reçu,713.69,Crédit,P004,A006,DAB,Validée,0.0,EUR
166,T000000166,C001412,2025-06-13 04:36:33,Virement reçu,914.96,Crédit,P003,A024,TPE,Validée,0.0,EUR
167,T000000167,C004520,2023-04-04 22:06:08,Paiement carte,-7.7,Débit,P010,A015,Web,Validée,0.0,EUR
168,T000000168,C000229,2023-02-05 04:30:58,Paiement carte,-36.06,Débit,P001,A021,TPE,Validée,0.0,EUR
169,T000000169,C004271,2026-04-04 11:56:59,Frais bancaires,-8.0,Débit,P001,A005,Application mobile,Validée,8.0,EUR
170,T000000170,C003542,2024-06-16 17:08:52,Prélèvement,-37.58,Débit,P002,A023,TPE,Validée,0.0,EUR
171,T000000171,C002463,2023-01-14 06:44:07,Remboursement,174.41,Crédit,P001,A008,Web,Validée,0.0,EUR
172,T000000172,C004209,2024-03-24 12:19:47,Frais bancaires,-12.0,Débit,P001,A008,Application mobile,Validée,12.0,EUR
173,T000000173,C002698,2025-04-26 04:36:26,Prélèvement,-38.95,Débit,P004,A006,Web,Validée,0.0,EUR
174,T000000174,C005906,2026-05-20 21:38:49,Paiement carte,-9.89,Débit,P001,A006,Application mobile,Validée,0.0,EUR
175,T000000175,C003510,2025-07-03 11:02:18,Paiement carte,-45.22,Débit,P004,A019,Web,Validée,0.0,EUR
176,T000000176,C001527,2023-10-24 18:13:28,Retrait DAB,-184.31,Débit,P010,A004,Agence,Validée,0.0,EUR
177,T000000177,C005100,2025-01-20 18:00:35,Virement reçu,182.37,Crédit,P010,A015,Application mobile,Validée,0.0,EUR
178,T000000178,C002955,2024-03-03 01:53:50,Prélèvement,-67.45,Débit,P001,A013,Application mobile,Validée,0.0,EUR
179,T000000179,C001024,2024-09-22 20:52:26,Paiement carte,-83.24,Débit,P001,A018,TPE,Validée,0.0,EUR
180,T000000180,C001307,2024-05-31 05:09:49,Prélèvement,-77.57,Débit,P008,A022,Application mobile,Validée,0.0,EUR
181,T000000181,C002842,2026-02-02 12:02:59,Paiement carte,-226.19,Débit,P004,A009,Agence,Validée,0.0,EUR
182,T000000182,C005328,2025-06-21 00:06:22,Dépôt,117.82,Crédit,P003,A020,DAB,Validée,0.0,EUR
183,T000000183,C001047,2025-09-11 01:33:57,Paiement carte,-148.11,Débit,P001,A018,TPE,Validée,0.0,EUR
184,T000000184,C004867,2024-06-05 14:58:49,Virement émis,-22.69,Débit,P001,A020,DAB,Validée,0.0,EUR
185,T000000185,C002227,2024-01-30 17:43:10,Prélèvement,-74.96,Débit,P003,A010,Application mobile,Validée,0.0,EUR
186,T000000186,C000481,2023-11-10 11:10:22,Paiement carte,-84.91,Débit,P007,A012,TPE,Validée,0.0,EUR
187,T000000187,C000058,2023-09-09 10:08:26,Paiement carte,-168.1,Débit,P008,A014,Application mobile,Validée,0.0,EUR
188,T000000188,C000210,2023-07-29 20:11:41,Paiement carte,-120.71,Débit,P007,A006,DAB,Validée,0.0,EUR
189,T000000189,C000531,2025-05-27 05:10:39,Prélèvement,-72.72,Débit,P003,A021,Application mobile,Validée,0.0,EUR
190,T000000190,C003983,2023-12-13 07:00:23,Paiement carte,-35.44,Débit,P002,A002,Application mobile,Validée,0.0,EUR
191,T000000191,C004281,2024-07-27 18:49:33,Paiement carte,-46.96,Débit,P002,A018,Application mobile,Validée,0.0,EUR
192,T000000192,C003489,2023-12-10 23:59:32,Paiement carte,-29.4,Débit,P002,A019,Application mobile,Validée,0.0,EUR
193,T000000193,C002479,2025-09-04 15:58:22,Remboursement,319.25,Crédit,P004,A024,TPE,Validée,0.0,EUR
194,T000000194,C001983,2023-10-21 18:45:18,Virement reçu,141.06,Crédit,P001,A001,Web,Validée,0.0,EUR
195,T000000195,C002818,2023-07-16 06:35:48,Virement reçu,176.76,Crédit,P009,A020,Web,Validée,0.0,EUR
196,T000000196,C004666,2024-08-14 22:35:20,Paiement carte,-117.68,Débit,P002,A005,Application mobile,Validée,0.0,EUR
197,T000000197,C001135,2025-09-19 13:26:35,Dépôt,358.18,Crédit,P009,A018,Application mobile,Validée,0.0,EUR
198,T000000198,C002152,2025-12-19 03:52:47,Paiement carte,-338.64,Débit,P001,A013,Web,Validée,0.0,EUR
199,T000000199,C005128,2026-05-18 03:12:10,Virement reçu,121.38,Crédit,P007,A001,Web,Validée,0.0,EUR
200,T000000200,C002920,2025-09-06 18:29:48,Virement émis,-19.18,Débit,P006,A022,Application mobile,Validée,0.0,EUR
201,T000000201,C005773,2024-06-17 21:50:21,Prélèvement,-35.62,Débit,P005,A021,Application mobile,Validée,0.0,EUR
202,T000000202,C001044,2026-06-23 13:23:05,Virement reçu,773.38,Crédit,P002,A007,TPE,Validée,0.0,EUR
203,T000000203,C002262,2024-11-16 22:21:04,Prélèvement,-493.73,Débit,P001,A023,Web,Validée,0.0,EUR
204,T000000204,C001969,2025-04-26 11:37:22,Paiement carte,-39.85,Débit,P005,A014,Agence,Validée,0.0,EUR
205,T000000205,C000377,2025-02-21 22:19:06,Paiement carte,-96.69,Débit,P002,A010,Web,Validée,0.0,EUR
206,T000000206,C002330,2023-11-17 11:53:14,Remboursement,530.65,Crédit,P002,A009,Application mobile,Validée,0.0,EUR
207,T000000207,C005325,2025-01-12 19:39:56,Virement reçu,69.46,Crédit,P002,A024,Agence,Validée,0.0,EUR
208,T000000208,C002269,2026-04-22 17:30:58,Virement reçu,129.93,Crédit,P002,A023,DAB,Validée,0.0,EUR
209,T000000209,C004705,2024-01-24 05:11:31,Paiement carte,-36.72,Débit,P009,A022,Web,Validée,0.0,EUR
210,T000000210,C003638,2025-02-17 11:43:29,Paiement carte,-15.11,Débit,P002,A016,DAB,Validée,0.0,EUR
211,T000000211,C001899,2024-04-03 13:06:25,Paiement carte,-98.76,Débit,P002,A007,Web,Validée,0.0,EUR
212,T000000212,C002340,2023-11-26 19:58:55,Virement émis,-36.17,Débit,P002,A013,Application mobile,Validée,0.0,EUR
213,T000000213,C002535,2023-12-12 17:43:27,Virement émis,-56.24,Débit,P001,A005,Application mobile,Validée,0.0,EUR
214,T000000214,C004486,2025-12-19 12:05:55,Dépôt,780.75,Crédit,P002,A014,Web,Validée,0.0,EUR
215,T000000215,C002261,2023-03-17 03:43:57,Prélèvement,-69.75,Débit,P001,A014,Web,Validée,0.0,EUR
216,T000000216,C002274,2025-11-21 12:22:34,Paiement carte,-30.16,Débit,P002,A024,Web,Validée,0.0,EUR
217,T000000217,C004449,2024-04-08 10:16:26,Paiement carte,-68.27,Débit,P007,A019,TPE,Validée,0.0,EUR
218,T000000218,C005189,2024-05-03 13:48:06,Virement reçu,1046.36,Crédit,P004,A021,Web,Validée,0.0,EUR
219,T000000219,C001315,2023-01-01 15:29:21,Virement émis,-55.09,Débit,P001,A012,Application mobile,Validée,0.0,EUR
220,T000000220,C000179,2025-01-09 15:11:27,Paiement carte,-36.5,débit,P009,A020,Web,Validée,0.0,EUR
221,T000000221,C003621,2023-01-12 02:38:06,Virement reçu,565.65,Crédit,P009,A009,Web,Validée,0.0,EUR
222,T000000222,C002154,2025-10-31 09:12:23,Paiement carte,-14.8,Débit,P001,A017,TPE,Validée,0.0,EUR
